PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Label1,label 2,Label3,label 4
-2.935661858,-0.042245567,-0.228424801,0.908124072,0.04173183,-1.570301941,1.197659129,0.313580983,0.162072355,-0.434005547,10,1,1,2
-2.968083041,1.547968686,-2.77685555,-3.066007599,0.60204667,2.2368908,1.731283413,-0.295211805,1.745600727,0.716992552,10,1,2,2
-3.349057168,1.768220259,-2.194965943,-1.454795046,0.60536573,2.568128181,2.167191945,-0.415235458,2.508082631,0.993533003,10,1,3,2
-3.06661071,1.428488981,0.172121549,-0.746020347,1.880312575,-0.065177729,-1.350244946,0.467986557,-0.593575699,0.526775592,10,1,4,2
-2.812897091,0.671505888,-0.179322052,0.426272241,1.204100618,0.243257574,-1.207886382,0.034271218,0.457630713,-0.382028743,10,1,5,2
-2.704828972,0.657551062,-0.631624169,1.324901953,1.050830761,-1.244555768,-0.133966747,-0.199937838,0.961150946,-0.188306626,10,2,1,2
-3.157204536,1.044754787,0.499706676,0.103923477,1.735421255,0.099244822,-1.124367071,0.669439707,0.06015814,0.135857806,10,2,2,2
-3.212022048,2.314215755,-3.182430834,-4.576659118,1.022198097,1.135126605,0.623283899,0.072398213,0.165020541,-0.318254848,10,2,3,2
-2.163224212,0.754958209,0.271178683,-0.662536627,0.728204846,0.42299901,-0.579018842,0.852270962,0.374552351,-1.578732311,10,2,4,2
-3.189705651,0.817892885,-0.29334395,1.367703538,0.532959703,-1.77786593,0.607660304,0.206475853,0.926696007,-0.132158942,10,2,5,2
-2.975999858,0.395894016,-0.26540953,1.079903965,0.277897995,-1.636504404,0.684113427,0.041889404,0.423992511,-0.123294739,10,3,1,2
-3.198095489,1.367099168,-2.015444108,-2.277074071,-0.014428947,1.427638389,1.146630296,-0.16417011,1.343218947,-0.272820924,10,3,2,2
-3.615232359,0.296759215,0.197943647,-0.679176047,1.364990599,-0.725376308,-1.88623369,-0.372150233,-1.150152909,2.357611686,10,3,3,2
-2.718940016,0.926767544,-1.188631328,-1.49019371,0.070279398,1.052817118,0.507068323,0.029724654,0.803468698,-0.817781382,10,3,4,2
-3.624788704,0.654929273,-0.379910362,0.883902613,0.199114081,-1.181621593,-0.79869469,-0.341785871,1.364038483,-0.132602637,10,3,5,2
-3.277738437,0.068724483,0.375856805,1.025657773,-0.159089271,-1.807357271,2.263585847,0.589704606,-0.063286919,-0.44709606,10,4,1,2
-3.601619107,1.705036409,-3.48062223,-4.364533415,-0.013116101,1.655861462,0.989613753,-0.012850988,1.092257984,0.35456517,10,4,2,2
-2.741068299,-0.242957398,-0.905723928,-0.740283609,0.215497795,0.715839875,0.308660951,-0.14857356,1.067965869,1.606586756,10,4,3,2
-2.104253987,0.007837295,-3.501582664,-3.218501749,-0.277289905,2.057104794,1.516442026,-0.217719374,2.226623526,1.339929542,10,4,4,2
-0.833146549,2.557149948,0.300286256,0.836202181,0.309894124,-0.626970954,0.216463266,-0.139827938,0.496146128,-0.564941066,10,4,5,2
-0.601761917,2.235162265,0.596429096,0.643901535,0.194003495,-0.491723443,0.626388886,0.08687714,-0.080049816,-0.318812523,10,5,1,2
-1.374446974,2.706639075,1.039239892,0.48756695,1.095935472,0.10417222,-1.109654214,0.441000887,-0.244651243,0.870536276,10,5,2,2
-1.804319263,4.578471203,-1.15182531,-2.882886162,0.748320675,0.5017692,0.110275198,-0.008614197,-0.688725616,-0.779496143,10,5,3,2
-1.556862663,3.260551563,-0.507900015,-1.66076544,0.186350059,0.805020997,0.593222457,-0.437463107,0.353214999,-0.355075354,10,5,4,2
-2.944145841,0.705716523,0.387197965,-0.051352385,0.045840346,0.076120729,-0.873082405,0.562532412,0.417983809,-0.641946699,10,5,5,2
-2.4801283,0.488042501,0.700475937,-0.087956878,-0.011938663,0.278276846,-0.685890107,1.528046508,0.983413134,-1.393160009,11,1,1,2
-2.679745006,1.820444517,-3.249632569,0.655356323,-1.692735634,-0.053714202,-0.432832177,0.445398887,-0.669436447,-0.154602451,11,1,2,2
-2.481072807,1.46139616,-3.408772311,0.71916559,-1.732558586,-0.485242833,-0.105151089,0.707034598,-0.601936092,-0.005516238,11,1,3,2
-2.024011836,0.987572924,-1.582145865,0.501730244,-1.080769965,-0.241965014,0.022785451,0.821066501,0.139934707,-0.664977948,11,1,4,2
-2.477139626,1.123463257,0.852722927,-0.056016633,0.348711381,0.050828654,-1.692792206,2.435765356,1.169640329,0.072386864,11,1,5,2
-2.613694259,1.009795938,0.936622858,-0.238039641,-0.286751969,0.155553726,-0.5631952,0.406367543,0.345747842,-0.650357066,11,2,1,2
0.969641681,-0.868160981,-0.514615546,-0.277626755,-0.5222735,-0.769166011,-0.420495943,-0.253744083,0.081984137,1.208709979,11,2,2,2
1.402059682,-0.508915784,-0.530362087,-0.355339656,-0.521591985,-0.318497966,-1.124011908,0.778043789,0.919825328,0.167649544,11,2,3,2
1.226799495,-0.349390619,-2.059608139,0.495380321,-1.614934313,-0.516844044,1.028367154,1.484940907,0.054915962,1.186340826,11,2,4,2
-0.573690497,2.928591325,0.773296809,0.359476421,0.877880943,0.303100619,-0.38135874,0.107783637,0.208867105,-0.689714928,11,2,5,2
-0.29337386,2.547291029,0.927573603,0.166782656,0.7398867,0.536893465,0.332662333,-0.032498533,-0.341390042,-1.056356953,11,3,1,2
-0.687163867,3.572811171,-2.376585304,1.067026688,-0.391731551,-0.213993576,-0.41705722,-0.071590681,-0.650998059,-0.822178262,11,3,2,2
-0.618898349,3.984170749,-1.502548718,0.578465708,0.166039002,0.289768874,-0.939879832,-0.598125634,-0.606348158,-1.064646995,11,3,3,2
-0.33477079,3.697330823,-1.562749212,0.807203636,0.070573182,0.046068501,-0.558075333,-0.387289156,-0.703215435,-0.800101666,11,3,4,2
-0.134391849,-2.135624179,-0.458965936,-0.829275716,-0.621893406,-0.352335202,-1.256304676,0.380072477,0.510249586,0.666298813,11,3,5,2
-0.894967322,-1.806572953,-0.099793333,-0.619937424,0.17211501,-0.439024985,-1.72201322,1.375096833,0.431813854,1.454640172,11,4,1,2
0.179885972,-0.847883447,-3.29757626,0.680854428,-2.381235844,-0.499105239,1.085935713,1.653964225,0.007725345,1.679007866,11,4,2,2
-0.454357424,-0.838401431,-2.289210806,-0.189506757,-1.939523714,-0.39965003,-0.067705731,0.70521266,-0.254144092,1.078629664,11,4,3,2
0.883480577,-1.120639455,-0.808508656,-0.574569716,-0.622884601,-0.59672152,-1.589223408,0.781202972,0.623201934,0.78687589,11,4,4,2
-0.313781228,-0.451700919,-0.725805147,0.645366694,2.654879553,-0.186021495,-0.384156824,-0.374981416,-0.365175139,0.080934941,11,4,5,2
-0.237491633,-0.571918436,-1.023171201,0.81150568,2.431293979,-0.38613157,0.165420584,-0.396530563,-0.260285454,0.02242683,13,1,1,2
0.194920505,-1.070892855,-0.676478212,3.948139575,1.041309556,3.92786379,1.335111866,-0.949497913,1.044695081,0.424296049,13,1,2,2
-1.191695949,-0.223705904,0.018076139,0.351793122,3.757151825,-0.248986399,-1.245351715,-0.063488914,-1.046305058,2.068635983,13,1,3,2
-1.078455696,-0.08279177,-0.102980921,0.317485475,3.30661865,-0.033698867,-1.341685332,0.344140354,-0.662767073,1.152487519,13,1,4,2
3.19352372,-3.527169574,-0.669049237,-0.730451307,0.962376251,-0.479758068,1.55903474,1.115353286,-1.0766567,0.332439716,13,1,5,2
3.235821226,-3.919104798,0.23643605,-1.735180166,1.010335987,0.497443309,0.431554929,1.008393373,-0.731149052,0.141943252,13,2,1,2
4.636517892,-4.118213196,0.051181721,4.579339052,-1.156267754,0.060840742,-1.500912344,0.717901867,-1.765276954,-0.294691755,13,2,2,2
4.539043581,-3.880715869,0.151826386,4.109758768,-0.857741231,-0.177398733,-1.609690836,0.840543104,-1.926337943,-0.409786051,13,2,3,2
4.326589509,-3.350657541,-0.754503088,2.75076591,-0.360407581,0.482687566,-0.633109355,0.151904227,-0.466375682,0.80350241,13,2,4,2
-2.496420945,-0.70000387,-1.090586249,0.745155063,1.113286019,-0.830565504,-0.78911414,-0.160491882,1.059922001,-0.205749321,13,2,5,2
-2.245114605,-0.897731383,-0.540564233,0.713205803,1.739729732,-0.646691018,0.821766891,1.086712667,-0.359372561,-0.220923945,13,3,1,2
-0.762812854,-2.509029739,0.05507003,5.348110129,-0.748202738,3.41246287,0.209310223,-0.424356565,0.290046226,0.31504726,13,3,2,2
-0.803478834,-2.397442201,0.056659723,5.433497899,-0.678628301,3.288286601,0.247251367,-0.441429466,0.392109442,0.296276665,13,3,3,2
-0.674488383,-2.16913237,0.134677423,3.994307991,-0.313082416,2.498947499,0.132644613,-0.385594477,0.144597599,0.013959985,13,3,4,2
-1.46085318,-1.334129908,-1.118267078,0.657259633,-0.397681589,-1.809117421,-0.504463107,-0.176731245,1.240969292,0.70971484,13,3,5,2
-1.939930604,-1.429678447,0.249655513,0.327560401,-0.31284827,-1.506865773,2.050668979,1.722977159,-0.567176632,-0.032584262,13,4,1,2
-0.464037638,-2.851716647,1.201425587,4.990226167,-2.30992876,1.609649267,-0.725494838,0.30364841,-0.565640701,0.10625762,13,4,2,2
-1.273855407,-0.840561711,-0.334009798,-0.099613987,0.090472503,-1.273720346,-0.26024627,0.207876141,-0.228498392,1.332273759,13,4,3,2
-0.293660167,-2.166021658,0.829792141,3.53752791,-1.78236008,1.169878824,-0.882351574,0.26759028,-0.632713165,-0.006140874,13,4,4,2
-1.47267743,-0.544014228,0.165882095,0.623338136,1.466298167,-0.764783516,1.922020412,0.938444767,-0.816057914,-0.527277825,13,4,5,2
-1.583819679,-0.249408953,-0.825230202,1.143449078,1.976238316,-1.095566521,0.315855703,0.086361505,0.066344095,0.398112873,13,5,1,2
-0.90781239,-0.188033342,-0.569725151,0.809172739,1.821501135,-0.680123884,-0.387006867,0.407824025,0.068799616,0.517037556,13,5,2,2
-0.883916083,-1.192508623,-0.154033534,4.681334288,-0.083249602,3.90253846,0.872526091,-0.691272912,0.854836126,0.413701776,13,5,3,2
-0.134978551,-1.80146622,-0.241846493,4.27233511,0.125979885,2.913535453,0.41890526,-0.465665072,0.261124945,0.058610479,13,5,4,2
-1.852775633,-0.631528418,0.298655093,-0.306869372,0.551267859,-0.320944966,-1.18504413,0.82531853,0.037989549,1.216172127,13,5,5,2
-1.721319385,-0.716275315,0.05810761,-0.280938081,-0.165204253,-0.37444397,-0.959838887,0.196147888,0.36770084,0.516244595,14,1,1,2
-3.358758697,2.057007336,-3.057039909,0.870815235,-1.599891692,0.09876754,0.142019691,0.77515965,-0.810674095,-0.104019686,14,1,2,2
-2.014210351,0.856660003,-3.228731954,0.585259191,-1.670118462,-0.303353926,0.272625939,1.1110496,-0.663511881,0.304685671,14,1,3,2
-2.428341794,0.915805695,0.426178508,-0.361533717,0.272513943,0.104286798,-1.549316773,0.354190571,0.480415652,-0.521829889,14,1,4,2
-3.370216681,0.431148022,0.596670322,0.096608786,0.504828507,0.061239405,-0.753357515,1.148710641,0.658590288,-0.942549561,14,1,5,2
-3.473680874,0.750920223,0.458734419,0.089863013,0.437243905,0.126358064,-1.114500954,0.320990697,0.702801504,-0.818773434,14,2,1,2
-2.504106708,-0.08109802,-0.383447014,0.018757067,-0.221291438,-0.8132187,-0.585346707,-0.130937669,-0.087366607,0.337351359,14,2,2,2
-3.480813083,1.457046944,-1.237460496,0.130715382,-0.216640012,0.00533067,-1.047765828,-0.304101196,-0.355399194,-0.708577398,14,2,3,2
-3.040119401,0.744199441,-2.221178986,1.328678553,-1.47278248,-0.913157684,1.375554037,1.931114311,0.129035098,0.316885185,14,2,4,2
-3.139873302,0.285095593,0.372370305,0.029369025,0.87509694,0.046430538,-0.732300902,0.174224075,-0.118047387,0.192762977,14,2,5,2
-3.221379428,0.495554527,0.689848146,-0.104549732,0.449745812,-0.005454128,-0.77168814,0.013688795,0.026143174,-0.430436702,14,3,1,2
-2.626202968,0.474937941,-1.214172023,0.017901406,0.128772201,-0.008360301,-1.163894214,-0.108563349,-0.13338022,-0.551148317,14,3,2,2
-3.020173773,0.661911698,0.151667779,-0.249333127,0.573121532,0.305146421,-1.401400264,-0.19423704,0.137006968,-0.862746005,14,3,3,2
-2.532007168,0.469775026,-0.151011744,0.112933557,0.30027878,-0.104175466,-0.933746941,0.854352102,0.087154822,-0.837310673,14,3,4,2
-2.727729201,0.340959595,0.286777512,0.09039158,0.879203757,0.059498215,-0.676580251,0.557775734,0.191939256,-0.241021502,14,3,5,2
-2.536093871,0.106229288,0.230966743,0.062037513,0.908195578,0.046020934,-0.565827411,-0.08890598,-0.18254325,0.061148188,14,4,1,2
-2.77015361,1.543950479,-3.759406123,1.042699164,-1.043866088,-0.048622037,0.337665215,0.892030955,-1.012957135,-0.077794994,14,4,2,2
-2.860646738,2.192893074,-3.872390883,0.996543738,-0.509467173,-0.014058872,-0.67540402,0.035170038,-0.96376717,-0.927490421,14,4,3,2
-2.395201917,0.516508048,-0.316538615,0.257866281,0.214280554,-0.348933251,-0.002203064,-0.261229766,-0.124745254,-0.137372973,14,4,4,2
-2.844717592,0.015183412,0.441800426,-0.068641627,0.637637965,0.00859164,-0.615813815,0.445819822,0.071320719,-0.163079107,14,4,5,2
-3.061365277,0.633436387,-0.032202315,0.326305476,0.890385028,-0.008592851,-0.650137497,0.400695266,0.242223209,-0.495477356,14,5,1,2
-3.284217829,1.666248228,-3.735075732,0.920945133,-1.16268464,0.037621659,-0.287914204,0.587768163,-0.902981719,-0.415813964,14,5,2,2
-2.879811109,1.124632452,-1.062536255,0.055461698,0.113442682,0.058053377,-1.087742001,-0.389979887,-0.264376968,-0.720952456,14,5,3,2
-2.95314118,1.072308709,-1.308252691,0.502298098,-0.119890406,-0.108318506,-0.041314447,0.375426069,-0.381756217,-0.701426207,14,5,4,2
-2.853306057,-2.060093611,-0.11837287,-1.111535996,-1.33365105,-0.686540292,0.048647552,-1.73641232,-0.367987652,0.818729832,14,5,5,2
-2.737852032,-2.158592877,-0.223068516,-1.341735025,-1.423983174,-0.590168042,-0.09028676,-0.968365432,-0.333590145,0.53304863,6,1,1,1
0.489570403,-3.307137834,2.633049999,-2.444043347,-1.460480579,0.386941016,1.415493941,2.088724685,-1.314627383,0.626110574,6,1,2,1
1.087648192,-3.148059028,2.385185906,-3.107692583,-1.307913845,1.064434804,-1.127427763,-0.065550283,0.120933572,0.130211616,6,1,3,1
2.263536681,-2.468593905,-0.285327299,-1.072852124,-2.180103351,-0.392569355,0.249099878,0.591035585,0.540577794,-0.544860836,6,1,4,1
4.23643816,4.775928802,1.341850202,0.121808845,-0.493667493,-0.00652138,0.163121467,-0.364543348,-0.234535516,0.431651628,6,1,5,1
4.268872077,4.780704547,1.337892957,0.151028907,-0.532476949,-0.003320104,0.1386318,-0.275082584,-0.193150001,0.354692225,6,2,1,1
4.275884224,4.687133462,1.691722356,-0.058590379,-0.442908859,0.224780018,0.058928489,-0.071392003,-0.207821652,0.359928587,6,2,2,1
4.214737734,4.814666573,1.340732393,0.165783927,-0.478308235,0.018871063,0.090581432,-0.164574403,-0.168903401,0.38934037,6,2,3,1
4.375778626,4.825311558,1.347511378,0.07995527,-0.545493173,0.080885828,0.140279976,-0.198156374,-0.144162847,0.269742049,6,2,4,1
0.786174966,-2.001791402,-1.182135221,0.6596519,3.895510253,-0.149597165,0.441713645,-1.147812639,-1.001213596,-0.352244205,6,2,5,1
0.279557087,-1.886523691,-1.379948112,0.425085834,3.486395161,0.179038469,0.792094975,-1.964068549,-1.51069255,-0.472391477,6,3,1,1
0.681501099,-0.986069405,-1.141221702,0.799130064,2.575509063,-0.444415993,1.828544982,-0.959489029,-1.209020834,-0.819193974,6,3,2,1
1.520552804,-1.416890335,0.230806946,0.594142871,2.95604418,-0.243351388,3.280068947,1.851345285,-2.023014346,-0.388983206,6,3,3,1
0.997499304,-0.999617239,-0.5070264,-0.090566394,2.768871112,0.87528202,1.635307745,-0.265240895,-1.051471122,-0.247691756,6,3,4,1
4.246618896,-3.196835526,-1.862001411,-0.831312024,-1.163809958,-0.75794999,0.756841239,-1.340034029,-0.109220109,-0.070977713,6,3,5,1
3.869031675,-3.110685226,-1.586493167,-1.27834097,-0.395838395,-1.121228162,0.259327282,-1.814300732,-0.770333719,0.775531045,6,4,1,1
5.256987386,-3.663794266,1.557632579,-3.192376837,0.295313005,1.54400054,-1.066987664,-0.139131548,-0.201212844,0.093512531,6,4,2,1
4.518543278,-3.694214822,1.39070768,-2.563641821,0.089109632,0.930027624,0.168159629,0.761363589,-0.644476914,0.455807472,6,4,3,1
5.057212097,-2.647209483,-1.219361448,-0.79646926,-0.867732618,-0.253578507,0.010578522,0.05551297,0.291078776,-0.71716065,6,4,4,1
8.581820997,-2.883522693,-2.322368804,-0.259471314,-0.450045919,-0.570760711,0.580118035,-0.333853241,0.241606421,-0.998316582,6,4,5,1
8.53404493,-2.80869987,-2.311119534,-0.118053323,-0.314181248,-0.318232502,0.503961304,0.477671824,0.899461274,-1.01641826,7,1,1,1
9.390056467,0.030173694,-2.741406885,-1.436989204,1.178015243,0.489756001,-3.109913564,-2.124099241,0.684743659,-0.917757345,7,1,2,1
9.438680387,-0.549465965,-1.686447942,-0.377068507,0.426748157,0.000303813,0.583738101,1.66573869,1.065193356,-1.296215329,7,1,3,1
9.553026608,0.187658195,-1.336142892,-0.088342556,0.80850217,0.031346551,-0.130223261,1.619478622,1.112018501,-0.924325508,7,1,4,1
3.455100324,-4.17672887,-2.981970564,-0.422019991,0.326805495,-0.418500896,-1.269557705,-0.233353738,1.02695747,-0.061954336,7,1,5,1
4.330559807,5.668093473,1.679381513,0.254337671,-0.553544218,0.079414693,0.090328401,-0.121850083,-0.146750247,0.371660787,7,2,1,1
4.329072475,5.670325125,1.678916686,0.257566307,-0.553149902,0.080990356,0.090837583,-0.122679299,-0.14704017,0.372433537,7,2,2,1
7.679485752,-2.188210562,-1.958859143,-0.654565804,-0.202342123,-0.346348386,0.650658241,-0.216967055,0.421453433,-0.430322252,7,2,3,1
4.329674109,5.669038422,1.677047932,0.257067635,-0.553024444,0.07963605,0.092617476,-0.120831517,-0.147857814,0.372830471,7,2,4,1
5.325428325,-3.818844721,-3.045974338,-0.735355493,0.461133381,-0.301363038,-1.841952854,-0.40800637,1.08180445,0.606346933,7,2,5,1
4.330328877,5.6667531,1.680004329,0.255052004,-0.553863521,0.081350249,0.093951391,-0.119768512,-0.146154224,0.372850937,7,3,1,1
4.329901559,5.668192599,1.678734731,0.253755748,-0.554780559,0.080462717,0.092461155,-0.120912857,-0.146295591,0.371748854,7,3,2,1
9.11808543,-1.467372309,-1.341298997,-0.697963947,0.428400369,-0.149340184,-0.316886759,0.01623962,0.454700761,-0.705317493,7,3,3,1
4.328766089,5.666903846,1.682564925,0.257724142,-0.550841021,0.081285025,0.092969314,-0.123647897,-0.145618424,0.372632635,7,3,4,1
6.860717175,-3.786493054,-3.328532302,-0.069214121,0.746996477,-1.352142188,-0.646840169,-0.150575229,1.127254775,0.860451499,7,3,5,1
4.332340989,5.667887662,1.679359026,0.25680476,-0.552271449,0.080277479,0.091988423,-0.121114802,-0.145803771,0.3720636,7,4,1,1
4.329075892,5.668131314,1.679156851,0.25749531,-0.555416668,0.080637749,0.09318775,-0.122473474,-0.146387682,0.373080992,7,4,2,1
10.62785942,-0.526833821,-1.8627267,-0.045098239,0.584960636,0.111033905,-0.375479784,0.293386845,0.819070019,-0.856835955,7,4,3,1
4.328239256,5.666735688,1.678422243,0.25594322,-0.555907657,0.079962951,0.090574893,-0.123002834,-0.14530913,0.373191422,7,4,4,1
8.217892662,-0.098845057,-1.433733291,0.060228447,1.442399309,-1.107043814,2.054161417,-0.902588374,-0.348396178,0.290693863,7,4,5,1
4.328902678,5.664881378,1.680018679,0.257967066,-0.55347495,0.081706752,0.092398687,-0.121964099,-0.145404044,0.373281007,7,5,1,1
4.328465988,5.667719417,1.680415423,0.255728217,-0.553327257,0.079827118,0.089911973,-0.122524269,-0.147811702,0.373307755,7,5,2,1
8.086922289,1.647798078,-0.85973648,0.193823598,2.455006689,-0.159104216,-0.145962342,0.933305643,0.227857583,1.147692908,7,5,3,1
4.329897315,5.667305312,1.680296016,0.255276503,-0.552466759,0.080344434,0.09184772,-0.121118649,-0.146876111,0.370557848,7,5,4,1
-1.963181435,-0.736741802,0.586564962,-0.838522085,-1.721653609,-0.452230049,-0.020750127,-0.887451129,-0.092156717,-0.169980221,7,5,5,1
-1.997400896,-0.830902484,0.470849331,-0.894941558,-1.602661838,-0.707916833,0.118454606,-1.57232827,-0.46288288,-0.087810411,8,1,1,1
0.569422358,-3.020401617,2.90965041,-3.428908546,-1.015262404,1.434498331,-1.044003967,0.239553455,-0.301154038,-0.020561761,8,1,2,1
0.067940897,-1.869777142,-0.340006023,-0.675996382,-2.527151915,-1.294968521,0.696267508,-0.834866857,0.164459345,-0.214808997,8,1,3,1
0.402843534,-1.982570862,-0.036435715,-0.76025517,-2.523009407,-0.8971144,0.522262104,-0.26681071,0.160081231,-0.220380895,8,1,4,1
-3.157810884,0.31322613,0.981956025,-0.437769548,-0.786884673,-0.110755785,-0.118899262,-0.737280561,-0.305703911,-0.452159842,8,1,5,1
-3.393935957,0.493260738,0.762710228,-0.246433148,-0.580126052,-0.138307894,0.172901998,-0.56700466,-0.273843635,-0.22179545,8,2,1,1
-0.540078194,-2.494621181,3.167056205,-2.89671873,-0.503635983,1.414783876,-0.15552076,0.709002944,-0.742188551,-0.125685686,8,2,2,1
-1.543218053,-0.958319683,0.194158785,-0.64579621,-1.404790454,-0.391419047,0.061511414,-1.207617982,-0.493799575,0.022765554,8,2,3,1
-0.046510837,-1.767778464,1.099678106,-1.775048633,-0.682118982,1.011466565,-1.533445453,-0.428276342,0.339534334,-0.148804229,8,2,4,1
-1.424794082,-1.618127388,-0.194970384,-0.614853136,-0.512363252,-0.07664959,-0.129164131,-1.125375974,-0.596555274,-0.301827797,8,2,5,1
-1.314286933,-1.579582964,-0.254383527,-0.554355897,-0.556949148,-0.21774219,0.052792142,-1.083872135,-0.547945637,-0.355839714,8,3,1,1
-0.333903963,-2.196185932,2.011908012,-2.352017386,-0.09920645,1.42674724,-0.732625779,-0.32987291,-0.445166998,-0.375285523,8,3,2,1
0.649015883,-2.841802883,2.729249767,-2.656707358,0.169828822,1.413030482,0.412848213,0.896913644,-1.145176667,-0.049446804,8,3,3,1
-1.281826614,-0.983028737,-0.035683658,-0.326248761,-0.499920941,-0.359945193,0.310083461,-1.773999586,-0.629085161,0.269438541,8,3,4,1
-2.025957124,-0.588160274,0.280467364,-0.398716357,-0.790914642,-0.45369533,0.769605213,-2.028743038,-0.845196525,-0.700305129,8,3,5,1
-2.282861966,-0.374386184,0.359976504,-0.659656759,-0.416537095,0.009884209,-0.231453907,-0.896314393,-0.465633426,-0.461206164,8,4,1,1
-0.498948389,-2.045034486,3.15634249,-2.37570975,0.048146659,1.534100983,0.818730967,1.127403512,-1.438267296,-0.164881209,8,4,2,1
-0.622899062,-2.126945664,3.203422866,-2.525098373,-0.065174294,1.411325601,0.67438034,1.122014943,-1.278687555,-0.183156567,8,4,3,1
-0.827011026,-1.51629108,2.961765501,-2.823737355,0.168293995,1.922849733,-0.596410673,0.023355496,-0.527847219,-0.611492562,8,4,4,1
-0.836629588,-1.008075397,0.008985477,-0.593844022,-0.893196362,-0.174261697,-0.096771,-0.671933116,-0.431287457,-0.078511852,8,4,5,1
-1.108131676,-0.86243097,0.193883151,-0.595510243,-0.890219053,-0.334392441,0.344077513,-1.003989462,-0.483094024,-0.365586449,8,5,1,1
-0.267106675,-1.979229653,2.858550731,-2.30128731,-0.219459312,1.273153973,0.335562675,0.79808696,-0.919998169,-0.061273186,8,5,2,1
-0.437157853,-1.564842702,1.97381717,-2.055678743,-0.306392923,1.066058566,-0.615002015,-0.188480297,-0.408096907,-0.294227449,8,5,3,1
-0.937139426,-0.930057631,0.01812655,-0.316614498,-1.129529483,-0.439637165,0.34458199,-1.939511023,-0.432353964,-0.122855547,8,5,4,1
-1.313481125,-0.1769882,0.10480586,0.107026303,0.188648103,-0.383205157,0.52759944,-0.167622363,-0.225743166,-0.014798587,8,5,5,1
-1.820566725,-0.221033008,0.195666077,-0.122521992,0.746063454,-0.49598627,0.147326765,-1.299592445,-1.070114342,1.279588381,9,1,1,1
-0.108684601,-1.398351346,3.52815028,1.310068263,0.55575943,-0.891414903,0.814776423,-0.192156683,1.405204042,0.025790377,9,1,2,1
-0.462709418,-0.065519454,-0.500893277,0.023992943,-0.344400986,-0.28698417,0.722020596,-0.519018981,-0.559825126,0.206481298,9,1,3,1
-1.659761725,0.867160578,-0.088411405,0.125944286,0.103039372,-0.282678171,0.370754552,-0.679400299,-0.612450906,0.417413285,9,1,4,1
-2.277291853,-0.026038267,0.244693224,0.030386579,-0.416948631,-0.759055135,0.153660023,-0.579881479,-0.275394281,0.343660201,9,1,5,1
-2.330042831,-0.086691259,0.510647821,-0.260640067,0.266238129,-0.368872172,-0.211345926,-0.473583021,-0.548482924,0.785705162,9,2,1,1
-1.238186021,-1.543275605,4.278134862,1.244756661,0.055105887,-0.771837877,1.129088926,-0.032971933,1.710361366,0.201816413,9,2,2,1
-1.054089139,-0.382473784,0.053689964,-0.238016743,-1.318088846,-0.339664706,0.836227827,-0.772279354,0.081682651,-0.606665888,9,2,3,1
-1.403365226,-0.139513609,-0.147791185,-0.030000283,-0.643738216,-0.389175836,0.572253274,-0.444149388,-0.340503004,0.463400621,9,2,4,1
-1.439282381,-0.846715457,0.301509559,-0.503574879,-0.43274936,-0.271695984,0.290174736,-0.162299297,-0.05668102,-0.627853844,9,2,5,1
-1.390468738,-0.526387386,0.025448855,-0.364619804,-0.287406011,-0.333512928,0.071823321,-0.054064506,-0.075808892,-0.366523511,9,3,1,1
-0.278609366,-2.391127047,4.497044763,1.131388347,0.597249323,-1.629611804,0.528498402,-0.151655249,1.368379432,-0.264066591,9,3,2,1
0.806924535,-2.484437099,3.790226472,0.747264013,0.498930117,-1.532812545,-0.201402919,-0.336991726,0.877406979,-0.525993226,9,3,3,1
-0.001155049,-1.375409667,0.601894253,0.072732881,-0.374063726,-0.595938205,0.495553094,-0.302704317,0.239889295,-0.104846894,9,3,4,1
-1.773829673,-0.598248326,0.26827359,0.102023038,0.184508656,-0.456406811,0.481252284,-0.317124215,-0.16152545,-0.061933938,9,3,5,1
-1.492728568,-0.587172926,0.367669656,-0.170170654,0.131702574,-0.286465781,0.407491525,-0.036957816,-0.175411108,-0.336535047,9,4,1,1
-0.876312097,-1.796091152,4.210862836,1.470444473,0.739949115,-1.270837422,0.28970569,-0.531749422,1.463111053,-0.528813329,9,4,2,1
-1.828569358,-0.909684317,3.862357384,1.680835697,0.532226534,-0.619652915,1.492572701,-0.006264526,1.832525479,0.270037228,9,4,3,1
-1.237702891,-0.868880776,3.300033526,0.520367013,0.88137921,-0.721286841,0.774157,-0.07710184,0.990197311,-0.100861384,9,4,4,1
-1.955580871,-0.44398345,0.058070948,-0.237986598,-0.998084855,-0.791786293,0.225086446,-0.367839165,-0.129695866,0.278322559,9,4,5,1
-1.511319091,-0.831571923,0.437736971,-0.36032322,-0.722866617,-0.530163392,-0.025528705,-0.178926695,0.097596864,0.333498941,9,5,1,1
0.001962559,-2.2184104,3.803297707,0.929408749,-0.393329945,-1.668799571,-0.074943347,-0.242138619,1.424731445,-0.06164764,9,5,2,1
-0.592066758,-2.172103886,4.236954761,1.105223512,-0.20297937,-1.406490589,0.440470742,-0.299238643,1.72560937,0.04823174,9,5,3,1
-0.463672503,-0.666633875,0.133823866,-0.505062771,-1.348975522,-0.294231223,0.265725948,-0.267877858,0.229661261,-0.541787582,9,5,4,1
,,,,,,,,,,9,5,5,1
